pol	szl	21869	148	288
pol	ukr	3271	2	3
por	cat	6318	945	771
por	ina	463	0	0
por	cat	6318	945	771
por	glg	10583	875	872
quz	spa	2468	571	701
qve	spa	4211	726	893
ron	ita	9214	738	141
ron	cat	19932	2274	801
ron	ina	190	4	2
ron	rup	402	0	0
rus	eng	1708	1	3
rus	ukr	11952	98	87
sah	eng	0	0	0
scn	spa	8919	1070	1367
sin	eng	77	1	2
sjo	eng	52	1	0
slv	spa	10506	110	3
slv	mkd	25579	0	0
slv	ita	1585	0	1
slv	pol	354	0	0
sma	nob	50475	3080	1
sme	deu	6	0	0
sme	est	5464	0	0
sme	fin	19255	36	21
sme	nob	79597	159	10
sme	sma	51381	30	17
sme	smj	53039	9	34
sme	smn	54543	32	26
sme	spa	1	0	0
smj	nob	44818	3081	1
snd	hin	1639	0	0
spa	arg	25139	740	1278
spa	ast	37216	4581	15270
spa	cat	47303	3951	2470
spa	cos	0	0	0
spa	deu	477	54	89
spa	ita	11782	2549	2021
spa	pol	519	1	0
srd	ita	22712	1154	3429
swa	run	4	0	0
swa	eng	14	1	0
swe	dan	21479	262	34
swe	eng	13449	3	0
swe	nor	66184	160	381
tat	bak	0	0	0
tat	eng	14983	0	0
tat	rus	6000	0	0
tel	mar	1	0	0
tet	por	3066	9	0
tgk	pes	11256	1	1
tgl	ceb	18	0	0
tha	eng	50706	0	12
tha	lao	780	0	0
tlh	swe	3	0	0
tur	eng	171	0	0
tat	kir	10	0	0
tuk	tur	3386	1	0
tur	aze	8194	0	0
tur	fin	21	0	0
tur	kir	7122	1	0
tur	tat	3686	1	11
tur	uzb	3519	0	0
udm	kpv	0	0	0
udm	rus	148	0	0
uig	tur	9114	16	0
urd	hin	4434	331	178
urd	snd	1549	0	0
uzb	kaa	412	0	0
vie	eng	18	15	0
vro	est	159	0	0
zho	spa	14038	2	0
zul	xho	4	0	0
zul	ssw	2	0	0
